id,key,description,status,assignee,issuetype,project,created,updated,creator,reporter,priority,labels,layer,customer
661321,IIAB-2720,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-12T13:11:09.000+0100,2023-12-12T13:11:18.000+0100,admin,admin,Medium,,,
661320,IIAB-2719,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-12T13:07:19.000+0100,2023-12-12T13:07:25.000+0100,admin,admin,Medium,,,
661315,IIAB-2718,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-12T13:01:15.000+0100,2023-12-12T13:01:22.000+0100,admin,admin,Medium,,,
661284,IIAB-2717,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-12T12:27:38.000+0100,2023-12-12T12:28:51.000+0100,admin,admin,Medium,,Affiliate,
661282,IIAB-2716,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-12T12:25:32.000+0100,2023-12-12T12:32:04.000+0100,admin,admin,Medium,,,
661277,IIAB-2715,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-12T12:17:50.000+0100,2023-12-12T12:17:51.000+0100,admin,admin,Medium,,,
661269,IIAB-2714,,New,-,Bug,JSW-IIAB-RGI,2023-12-12T12:09:35.000+0100,2023-12-12T12:09:35.000+0100,francesca.favaretto,francesca.favaretto,Medium,,Product,
661265,IIAB-2713,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-12T12:07:30.000+0100,2023-12-12T12:57:46.000+0100,admin,admin,Lowest,,Affiliate,
661262,IIAB-2712,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-12T12:06:49.000+0100,2023-12-12T12:17:03.000+0100,admin,admin,Medium,,,
661258,IIAB-2711,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-12T11:59:24.000+0100,2023-12-12T11:59:27.000+0100,admin,admin,High,,,
661244,IIAB-2710,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-12T11:37:53.000+0100,2023-12-12T12:38:23.000+0100,admin,admin,Medium,,Affiliate,
